Battery,Brand,CPU,Color,Display,Graphics,ImgURL,MFG_year,Name,OS,Price,Ram,Size,Status,Storage,URL,Weight,Wireless
"
                                                    6-cell, 80.5Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel® Smart Cache)                                            ","
                                                            Lunar Light (Trắng)                                                    ","
                                                    14"", FHD (1920 x 1080) WVA, không cảm ứng, 400 nits, độ phủ màu 100% sRGB/ DCI-P3 100%, 144Hz, low blue light                                            ","
                                                     Đồ họa Intel® Iris® Xe, NVIDIA® GeForce® RTX 3050Ti 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/notebook-dell-alienware-x14-r1-trungtran_(1).png,"
                                                             2022                                                    ",Alienware X14 R1 i7 12700H Ram 16GB SSD 512GB RTX 3050Ti 14inch FHD IPS 144Hz - Phím không LED,"
                                                            Windows 11                                                    ",29.999.000đ,"
                                                    16GB LPDDR5, 4800MHz MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            32.1 x 26.2 x 1.45 cm                                                    ","
                                                            Outlet/Refurbished                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất                                            ",https://trungtran.vn/alienware-x14-r1-i7-rtx/,"
                                                            1.79 - 1.84kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    6-cell, 80.5Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel® Smart Cache)                                            ","
                                                            Lunar Light (Trắng)                                                    ","
                                                    14"", FHD (1920 x 1080) WVA, không cảm ứng, 400 nits, độ phủ màu 100% sRGB/ DCI-P3 100%, 144Hz, low blue light                                            ","
                                                     Đồ họa Intel® Iris® Xe, NVIDIA® GeForce® RTX 3050Ti 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/notebook-dell-alienware-x14-r1-trungtran_(1).png,"
                                                             2022                                                    ",Alienware X14 R1 i7 12700H Ram 16GB SSD 512GB RTX 3050Ti 14inch FHD IPS 144Hz - Phím LED Zone,"
                                                            Windows 11                                                    ",31.499.000đ,"
                                                    16GB LPDDR5, 4800MHz MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            32.1 x 26.2 x 1.45 cm                                                    ","
                                                            Outlet/Refurbished                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất                                            ",https://trungtran.vn/alienware-x14-r1-i7-rtx/,"
                                                            1.79 - 1.84kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    6-cell, 80wh                                            ","
                                                            Lenovo                                                    ","
                                                    AMD Ryzen 7 7745HX (8 nhân 16 luồng, xung nhịp cơ bản 3.6GHz có thể đạt tới 5.1GHz với turbo boost, 8MB L2 Cache, 32MB L3 Cache, default TDP 55W)                                            ",,"
                                                    16.0"" WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 240Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.                                            ","
                                                    AMD Radeon™ 610M + NVIDIA® GeForce® RTX 4060 8GB                                             ",https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2023_y9000p_12-copy.jpg,"
                                                            2023                                                    ",Lenovo Legion 5 Pro 2023 i9 13900HX RAM 16G SSD 1TB RTX 4050 2.5k 240Hz,"
                                                            Windows 11                                                    ",35.900.000đ,"
                                                    16GB DDR5 5600MHz                                            ",,"
                                                            New 100%                                                    ","
                                                    1TB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/lenovo-legion-5-pro-2023-ryzen-7-rtx/,"
                                                            2.55kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
"
                                                    6-cell, 80wh                                            ","
                                                            Lenovo                                                    ","
                                                    AMD Ryzen 7 7745HX (8 nhân 16 luồng, xung nhịp cơ bản 3.6GHz có thể đạt tới 5.1GHz với turbo boost, 8MB L2 Cache, 32MB L3 Cache, default TDP 55W)                                            ",,"
                                                    16.0"" WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 240Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.                                            ","
                                                    AMD Radeon™ 610M + NVIDIA® GeForce® RTX 4060 8GB                                             ",https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2023_y9000p_12-copy.jpg,"
                                                            2023                                                    ",Lenovo Legion 5 Pro 2023 i9 13900HX RAM 16G SSD 1TB RTX 4060 2.5k 240Hz,"
                                                            Windows 11                                                    ",39.500.000đ,"
                                                    16GB DDR5 5600MHz                                            ",,"
                                                            New 100%                                                    ","
                                                    1TB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/lenovo-legion-5-pro-2023-ryzen-7-rtx/,"
                                                            2.55kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/latitude_5300_front_view_thumbnail.png,"
                                                            2018                                                    ","Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3"" FHD IPS Touch","
                                                            Windows 10                                                    ",8.500.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/latitude_5300_front_view_thumbnail.png,"
                                                            2018                                                    ","Dell Latitude 5300 i5-8365U 16GB SSD 512GB 13.3"" FHD IPS Touch","
                                                            Windows 10                                                    ",9.500.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    6-cell, 80wh                                            ","
                                                            Lenovo                                                    ","
                                                    AMD Ryzen 7 6800H (8 nhân 16 luồng, xung nhịp cơ bản 3.2GHz có thể đạt tối đa 4.7GHz với turbo boost, 4MB L2 Cache, 16MB L3 Cache)                                            ","
                                                            Storm Grey (Xám - nắp) ; Black (Đen - dưới đáy)                                                    ","
                                                    16.0"" WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.                                            ","
                                                    AMD Radeon™ 680M + NVIDIA® GeForce® RTX 3060 6GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2021_r9000p_trungtranvn_6-copy-copy.png,"
                                                            2022                                                    ",Legion 5 Pro 2022 i9 12900H 16GB SSD 512GB RTX 3060 16inch 2.5K 165hz ,"
                                                            Windows 11                                                    ",31.900.000đ,"
                                                    16GB DDR5 4800MHz                                            ","
                                                            35.9 x 26.4 x 1.9 cm cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/legion-5-pro-16iah7h-ryzen-7-rtx/,"
                                                            2.49kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
"
                                                    3-cell, 42wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/dell-latitude-5400-frontview-trungtran_vn_.png,"
                                                            2018                                                    ","Dell Latitude 5400 i5-8365U 8GB SSD 240GB/256GB 14"" FHD IPS","
                                                            Windows 10                                                    ",8.200.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            32.3 x 21.6 x 1.96-2.08cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5400-i5-nhieu-cau-hinh/,"
                                                            1.48kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    3-cell, 42wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/dell-latitude-5400-frontview-trungtran_vn_.png,"
                                                            2018                                                    ",Dell Latitude 5400 i5 8365U 16GB SSD 500GB/512GB FHD IPS,"
                                                            Windows 10                                                    ",9.200.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            32.3 x 21.6 x 1.96-2.08cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5400-i5-nhieu-cau-hinh/,"
                                                            1.48kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    6-cell, 80wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i9 12900H (14 nhân 20 luồng, tần số cơ bản 3.8GHz, có thể đạt tới 5.0GHz với turbo boost, 24 MB Intel® Smart Cache)                                            ","
                                                            Storm Grey (Xám - nắp) ; Black (Đen - dưới đáy)                                                    ","
                                                    16.0"" WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.                                            ","
                                                    Intel Iris Xe+ NVIDIA® GeForce® RTX 3060 6GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2021_r9000p_trungtranvn_6-copy.png,"
                                                            2022                                                    ",,"
                                                            Windows 11                                                    ","
                            31.900.000đ                        ","
                                                    16GB DDR5 4800MHz                                            ","
                                                            35.9 x 26.4 x 1.9 cm cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/legion-5-pro-16iah7h-i9-rtx/,"
                                                            2.49kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
